battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1654,1,0.5,0,10,0,26,0.7,158,3,14,299,1386,925,15,13,4,1,0,1,1
903,0,0.9,0,0,0,31,0.5,136,1,6,1218,1791,1693,6,11,18,1,1,1,1
651,0,2.3,0,5,0,19,0.9,176,3,13,453,511,920,11,1,13,1,0,0,0
553,1,2.2,0,10,0,43,0.7,149,7,15,573,1714,1111,19,11,4,0,0,1,0
1643,1,2.9,0,0,0,12,0.8,86,4,7,618,1923,2633,6,13,3,0,0,1,2
1127,1,2.4,0,20,0,30,0.4,98,4,10,636,590,1150,10,6,5,1,0,0,1
1086,0,2.9,0,6,0,18,1.0,123,8,18,300,1099,2149,17,12,19,1,0,0,1
1943,0,2.3,1,5,0,27,0.8,142,6,9,778,800,3679,14,3,15,1,0,1,3
1945,1,1.2,1,13,0,57,0.9,144,2,14,1479,1634,1442,16,0,9,1,0,1,2
603,1,0.8,1,1,0,58,0.3,118,8,6,988,579,2098,13,16,3,0,0,1,1
753,1,2.5,0,3,0,24,0.3,162,1,18,201,1335,2404,15,2,20,1,0,0,1
1750,1,2.1,0,10,0,57,0.4,188,5,4,673,1151,582,9,16,11,1,0,1,1
1635,1,0.6,0,14,0,53,0.3,105,8,7,1879,932,2630,14,7,6,0,0,1,2
1009,1,1.4,0,17,1,49,0.9,123,6,15,301,916,3482,11,2,12,1,0,0,2
1996,0,2.9,1,0,0,21,0.1,91,2,16,1647,1737,2313,17,9,10,1,0,0,2
598,0,1.8,0,2,0,46,0.2,101,1,15,336,1970,2656,5,1,17,1,0,0,1
652,0,1.6,1,2,0,3,0.3,156,7,12,31,517,438,12,3,6,0,0,0,0
1413,1,1.6,0,6,0,25,0.3,171,1,12,1121,1577,710,13,13,16,0,0,1,1
1377,1,1.0,1,0,0,32,0.3,93,7,10,1782,1245,1925,19,10,15,1,1,0,1
837,1,1.4,0,10,0,28,0.8,165,6,7,772,739,261,17,13,10,0,1,0,0
1321,1,1.4,1,5,1,3,0.6,109,2,16,1214,1345,3660,9,12,6,1,0,0,3
1686,1,0.6,0,19,1,58,0.1,123,8,13,1564,917,1612,10,3,16,1,1,1,1
1456,1,2.4,1,2,1,15,0.5,163,2,7,1071,1355,3585,17,1,10,0,1,0,3
660,0,1.5,0,18,0,5,0.5,187,3,2,1273,1967,466,15,1,5,1,1,1,0
1300,0,2.6,1,1,0,50,0.2,170,5,17,1249,1098,306,12,10,5,0,0,0,0
897,1,2.6,1,17,0,14,0.7,117,4,16,1295,1646,1724,8,4,8,0,0,1,1
1800,0,1.0,0,11,1,37,0.7,138,3,3,664,919,3986,6,8,16,0,0,1,3
1315,1,2.1,1,9,0,36,0.7,121,1,18,1508,715,1265,19,16,18,1,1,1,1
1915,0,1.7,0,4,0,45,0.8,131,5,4,327,1943,632,14,11,19,1,1,0,1
1658,1,2.7,0,8,1,55,0.1,142,5,4,796,1208,2943,12,17,8,1,0,1,2
1718,1,1.0,0,1,1,56,1.0,140,2,6,1203,1050,3813,6,2,20,1,1,0,3
900,0,2.2,1,1,0,9,0.8,199,5,18,813,1465,3073,9,4,11,0,1,0,2
1139,0,2.0,1,5,0,3,0.9,184,6,18,664,1751,1330,19,13,14,1,0,1,1
1556,1,1.2,0,9,0,7,0.1,113,5,7,745,1760,409,17,15,3,1,1,0,0
1187,1,0.8,0,17,0,32,0.9,118,1,2,1046,1853,837,10,18,12,0,1,1,0
959,0,2.1,1,11,1,55,0.8,120,6,8,929,1332,1043,9,8,6,0,0,0,0
1454,0,2.3,1,3,0,11,0.9,200,6,16,962,1992,1046,10,16,7,1,1,1,1
969,1,1.3,1,20,0,45,0.2,187,3,8,1629,1179,3637,10,6,4,0,0,0,2
1898,0,2.1,0,16,1,22,0.8,116,5,20,1393,986,3726,7,9,2,1,0,1,3
1545,1,1.5,0,14,0,43,1.0,144,2,12,1268,1122,2437,15,3,4,1,0,0,2
1249,1,2.3,0,5,0,11,0.7,197,7,15,1825,1938,2523,15,9,4,0,0,0,2
537,1,1.0,0,15,1,24,0.6,158,3,14,1183,718,418,7,2,5,0,0,1,0
729,1,2.7,0,16,1,4,1.0,111,2,10,372,1220,1226,13,8,8,1,0,0,0
1888,0,1.2,1,2,0,33,0.5,87,5,10,284,880,903,7,12,16,1,0,0,1
1062,0,1.4,0,9,1,21,0.6,176,3,17,520,586,2872,7,0,12,1,1,1,2
937,0,0.6,1,4,1,11,0.5,97,5,13,1473,1984,1781,15,14,19,1,0,1,1
1806,0,0.8,1,13,0,30,0.9,124,1,11,696,1314,1201,18,14,13,1,1,1,1
526,0,1.8,0,20,1,42,0.2,172,3,7,806,910,944,6,10,5,0,1,1,0
725,0,1.2,1,12,0,53,0.6,175,2,19,646,1190,2418,11,9,12,1,0,1,1
1800,0,2.6,0,5,0,52,0.7,112,1,3,1645,1512,1778,14,6,7,0,1,0,2
1297,1,0.5,1,11,0,47,0.8,84,4,10,1604,1024,1751,14,0,20,0,0,1,1
783,0,1.4,0,7,0,35,0.6,161,2,20,135,946,2303,8,6,19,0,0,0,1
1378,0,1.3,0,4,1,38,0.9,191,7,7,95,799,1428,5,4,16,1,0,0,1
1459,1,0.5,1,14,0,21,0.9,153,8,3,1142,907,3568,10,15,4,1,0,0,3
952,0,0.8,0,15,0,62,0.2,115,5,16,1397,874,378,9,7,18,0,0,0,0
1519,0,1.5,1,0,0,62,0.5,176,2,18,273,732,1059,18,1,2,0,0,0,1
1315,1,1.7,0,15,0,9,0.1,102,4,17,1893,1137,3142,15,7,3,0,1,1,2
1158,0,1.5,0,4,1,8,0.4,119,2,9,877,1149,1348,6,13,20,0,1,1,1
1046,0,1.8,0,2,1,7,0.6,84,1,11,849,1460,3129,10,3,10,0,1,1,2
1715,0,2.0,1,19,1,12,0.9,113,6,11,1200,1572,318,5,14,9,1,1,1,1
1572,1,0.5,1,14,0,45,0.9,103,8,19,1896,685,988,7,6,13,0,1,1,1
516,0,1.7,0,12,1,19,0.2,96,2,11,1772,1728,3343,8,7,16,1,0,1,2
1695,0,2.9,1,15,1,52,0.2,174,3,10,783,577,3717,17,10,8,0,1,0,3
1743,1,1.8,0,10,0,43,0.6,150,7,20,1300,1909,2893,7,1,17,0,0,1,2
657,0,2.2,1,20,1,58,0.6,160,4,2,1161,693,1913,19,8,8,1,0,1,1
976,1,1.3,1,1,0,30,0.3,171,2,5,1897,1626,1203,17,5,13,1,0,1,1
1569,1,2.4,0,5,1,26,0.9,181,4,4,131,1899,3585,10,0,18,0,0,1,3
1896,0,2.4,0,5,1,64,0.9,101,6,11,1067,786,2520,15,2,12,1,0,1,2
1017,1,1.8,0,13,1,22,0.5,94,1,13,1146,749,734,8,9,5,1,0,0,0
598,1,2.9,0,10,1,47,0.9,180,3,19,1159,1724,1393,18,4,20,0,0,0,0
1560,0,0.8,0,7,0,4,0.4,94,5,7,1390,1035,2252,5,11,3,0,1,0,2
779,1,0.5,1,7,0,19,0.8,193,2,3,372,1984,1659,9,0,3,0,0,1,1
1872,1,2.4,1,0,1,25,0.5,193,1,11,1149,799,3985,9,8,18,1,0,1,3
996,0,2.5,0,20,0,48,0.2,104,8,3,1462,1606,1232,13,12,10,0,1,1,1
801,0,0.8,0,6,1,39,0.9,132,4,10,1810,1308,492,12,18,2,0,1,0,0
680,0,1.2,0,5,1,11,0.5,100,6,11,1599,957,2779,19,6,11,1,0,0,2
1106,1,0.5,1,20,1,28,0.8,198,7,3,807,1190,2210,12,15,16,0,1,1,1
1622,0,1.2,0,7,1,13,0.4,181,4,9,743,1821,853,9,7,16,1,0,1,1
1199,1,2.4,0,18,1,8,0.1,145,7,18,50,1887,1958,12,18,3,1,0,0,1
1492,1,1.8,1,20,1,18,0.2,170,6,18,1160,1217,2432,18,6,15,0,0,0,2
1639,1,1.4,1,19,0,2,0.5,192,7,5,1181,539,2813,14,3,5,1,0,0,2
690,1,1.4,1,7,0,59,0.7,111,6,19,55,1863,420,11,9,19,1,1,1,0
752,1,0.5,1,13,1,51,0.4,100,1,13,1616,607,2580,5,0,10,0,1,0,1
1480,1,1.2,0,17,0,27,0.7,147,2,18,743,1839,2560,16,16,3,1,1,1,2
1427,1,2.1,1,15,1,16,0.7,123,5,10,427,1637,3459,11,12,3,0,0,1,3
1684,0,2.9,1,8,0,52,0.7,162,2,20,442,1690,3295,15,18,19,0,0,1,3
1779,0,2.6,0,14,0,61,0.5,145,8,15,1934,760,825,12,12,18,0,1,0,1
1846,1,0.6,0,9,0,34,0.9,169,8,15,325,1747,3584,7,8,10,0,1,0,3
627,1,2.7,0,15,1,63,0.5,177,3,18,639,1785,396,13,4,9,0,0,0,0
517,0,2.5,1,3,0,38,0.5,93,2,3,1661,1774,941,12,0,3,1,1,0,0
1065,1,2.5,0,19,1,48,0.3,94,6,9,828,1025,942,6,1,3,1,1,1,0
1069,0,1.6,1,12,1,32,0.4,99,6,6,79,1209,3536,10,10,6,1,0,1,2
1846,0,1.5,1,4,1,36,0.1,113,3,8,473,625,3019,8,3,13,0,1,1,3
1185,0,1.3,1,6,0,2,0.7,115,4,17,376,1729,3326,7,8,17,0,0,1,2
1125,1,0.7,0,8,0,9,0.3,162,6,17,1892,1663,3846,15,4,15,0,1,0,3
1811,1,1.1,1,7,0,13,0.4,88,3,18,918,1585,2294,10,4,3,0,1,1,2
1353,0,1.1,0,15,1,60,0.8,150,6,8,332,1806,1330,14,7,9,1,0,0,1
1461,0,1.7,0,5,1,55,0.4,109,5,9,1198,553,1782,17,1,5,1,0,1,1
654,0,2.4,0,15,0,58,0.3,156,6,9,1680,845,1538,19,6,10,0,0,0,1
989,0,1.7,1,5,1,20,0.3,170,1,12,440,635,2481,13,16,20,0,0,1,2
1909,0,0.6,1,13,0,26,0.8,142,3,16,125,829,1177,6,10,3,0,0,1,1
1284,1,2.9,1,20,0,58,0.2,187,7,19,1717,1667,2846,14,14,17,1,0,0,2
1627,0,2.9,0,0,0,33,0.5,114,8,7,218,1959,3683,14,2,12,1,1,1,3
1916,1,2.5,1,8,0,64,0.6,92,2,13,947,1805,1597,14,12,9,0,1,0,2
745,0,3.0,1,12,1,13,0.7,158,3,16,277,635,1945,9,17,13,0,0,1,1
1699,1,1.9,1,18,0,64,0.7,125,4,7,1508,1312,3266,10,2,4,1,0,0,3
1562,1,2.9,1,16,0,14,0.8,135,6,19,594,1351,619,8,1,14,1,0,0,1
2000,1,0.7,1,10,0,29,0.1,88,3,10,934,1924,1334,11,4,3,0,1,0,2
1258,1,1.4,0,7,0,2,0.4,188,5,9,140,1370,3483,6,4,14,0,1,0,3
1037,1,1.1,0,4,0,52,0.4,166,3,15,845,1391,1323,11,12,9,0,1,1,1
1420,1,1.0,0,9,0,7,0.2,197,5,20,1007,1972,2896,6,7,16,1,1,0,2
907,0,0.9,0,6,0,9,0.4,115,8,20,1630,1134,2286,5,15,10,0,0,0,1
1024,1,2.1,1,9,1,5,0.4,196,8,9,876,1168,2845,15,17,12,1,1,0,2
1327,0,2.5,0,3,1,6,0.6,183,6,3,1729,1793,2625,9,15,4,0,1,0,2
1402,1,1.9,1,8,1,26,0.7,82,2,5,109,1540,2951,6,0,8,0,1,1,2
535,1,0.9,0,13,1,23,0.4,177,6,7,1075,768,2317,12,7,15,0,0,0,1
1184,0,2.5,0,1,0,29,0.7,98,4,4,1638,1360,1636,16,1,16,1,1,1,1
519,1,2.1,0,8,1,40,0.4,107,1,4,612,981,1762,16,4,10,0,0,1,1
820,0,1.5,1,20,1,24,0.4,102,2,20,1677,1742,873,16,14,12,1,1,0,0
1011,0,2.2,1,0,1,5,0.6,183,2,12,712,1842,614,12,13,8,0,1,0,0
899,0,1.1,0,9,0,53,0.1,192,8,11,1342,1761,1597,5,2,13,1,1,0,1
1153,0,1.4,1,9,1,5,0.2,188,1,13,1222,784,3402,8,6,20,0,0,0,2
1471,1,2.8,0,19,1,63,0.5,86,3,15,795,1560,2238,18,3,19,1,1,1,2
970,1,1.2,0,2,0,48,0.9,184,6,19,728,602,1870,13,10,14,0,1,1,1
1666,0,1.7,0,5,1,60,0.7,155,3,10,1069,1953,449,9,11,12,1,0,0,1
1615,1,2.7,1,5,0,22,0.2,93,3,16,504,1291,618,16,14,2,1,1,0,1
1877,1,2.3,0,20,1,38,0.9,125,6,4,1563,738,1375,15,5,7,0,1,1,1
1333,0,0.7,0,1,0,57,0.8,94,4,12,1537,1240,1319,14,0,3,1,1,1,1
1226,1,0.9,0,17,1,42,0.6,146,2,11,1918,1144,3071,17,17,14,1,1,0,2
1353,0,0.5,1,1,1,3,0.8,94,5,19,1040,1648,2700,10,13,14,0,1,0,2
550,0,2.1,0,11,1,60,0.5,130,1,5,314,1381,362,7,6,20,1,0,0,0
1074,1,1.6,1,4,0,8,0.3,167,2,14,1459,1106,3344,9,9,10,0,1,0,2
1713,1,0.8,0,19,1,50,0.6,195,3,7,1411,687,782,18,8,20,0,1,0,1
1648,1,2.9,1,6,0,17,0.6,189,1,14,76,1387,2208,16,1,2,1,0,0,2
649,0,1.8,0,15,0,18,0.6,87,5,6,977,1779,3314,17,7,9,1,0,1,2
813,0,1.1,0,19,0,21,0.6,148,2,15,898,1486,1039,17,0,15,1,1,1,0
1069,1,1.8,1,0,0,59,1.0,141,2,14,1394,1423,3826,17,1,17,1,1,1,3
1865,1,2.2,1,0,1,24,0.9,130,4,15,1188,1293,2828,5,6,5,1,1,1,3
804,1,0.7,0,16,1,35,0.9,142,2,9,1632,1029,2038,12,15,19,0,0,0,1
1181,1,1.2,1,0,1,12,0.8,147,2,17,1640,1175,2005,15,3,15,0,1,0,1
1337,0,2.5,0,20,0,35,0.9,157,5,14,1047,891,3990,19,16,10,1,0,1,3
1577,1,1.6,0,19,1,34,0.2,95,5,16,711,1991,1322,10,3,16,1,0,0,1
1502,0,1.9,0,12,0,27,0.3,163,1,20,1058,1776,2929,16,2,4,1,0,0,2
943,0,1.6,1,8,0,3,0.5,103,3,2,1537,1171,2121,6,8,5,1,1,0,1
1112,1,0.6,0,14,0,62,0.9,85,5,3,1824,1360,3920,8,14,19,1,1,1,3
1492,1,0.9,1,2,1,64,0.6,198,1,19,1867,1699,2653,8,2,15,0,1,1,2
763,1,1.6,0,13,1,24,0.8,136,2,20,853,965,3980,13,11,16,0,0,1,2
1576,0,1.0,1,10,0,42,0.2,110,8,9,1484,1338,3357,13,14,9,0,1,1,3
1503,1,0.6,1,11,1,23,0.3,85,1,4,1161,1487,1720,9,7,11,1,1,1,1
504,1,2.6,0,12,1,59,0.8,178,8,15,1872,1812,1261,16,11,13,1,0,1,0
1626,0,3.0,1,12,0,35,0.2,158,1,10,1597,1573,2845,7,12,10,1,0,1,2
1719,1,2.5,0,0,0,61,0.4,108,1,9,1834,503,3782,5,14,9,0,0,0,3
1273,0,2.6,0,9,1,16,0.3,146,8,18,708,1351,1890,10,10,18,0,0,1,1
1376,1,1.1,0,2,0,11,0.4,154,6,17,1912,1746,3265,12,16,10,0,0,0,2
1491,0,2.9,0,3,0,16,0.7,82,1,11,1594,1785,349,5,11,14,0,1,0,0
1383,1,1.0,0,15,1,43,0.4,107,8,11,264,1034,3622,15,17,15,1,0,1,3
1873,1,2.9,1,7,1,30,0.6,153,5,7,332,1402,3876,5,15,6,1,1,0,3
546,0,3.0,0,15,0,58,0.2,193,7,18,187,1899,2299,19,2,10,1,0,0,1
1366,0,2.3,1,16,1,24,0.8,176,7,17,1086,1584,3202,15,8,17,1,1,1,2
1322,1,3.0,1,18,0,60,0.4,127,7,16,819,1879,344,11,6,20,1,1,0,0
1435,0,1.9,0,14,0,18,0.7,159,7,15,1302,1145,2209,11,18,8,1,0,1,2
1155,0,1.1,1,15,1,61,0.8,89,6,5,1565,523,2806,6,4,13,0,0,0,2
768,0,1.6,0,14,0,10,0.3,112,3,5,1194,1816,3070,7,18,3,1,1,0,2
869,0,2.0,1,1,0,51,0.9,179,8,3,1526,1056,2297,6,9,19,1,0,0,1
1135,1,0.7,1,10,0,37,0.7,146,1,12,1556,1190,2517,10,11,19,1,0,0,2
1629,1,2.1,1,0,1,10,0.5,148,4,5,298,855,1701,17,7,17,1,0,1,1
1156,0,3.0,0,14,1,17,0.3,91,7,17,200,1369,781,17,2,12,1,0,1,0
619,0,1.0,1,18,1,37,0.9,136,2,5,1158,1440,2495,12,18,3,1,0,1,1
1330,0,2.5,0,3,0,49,0.8,123,7,2,271,1074,2086,12,10,15,1,0,0,2
1581,0,2.8,1,10,0,52,0.3,92,7,20,534,528,2997,19,7,5,1,0,0,2
1869,1,2.9,1,4,1,34,0.4,103,2,3,1465,856,2945,5,12,8,0,0,0,3
1240,1,2.9,1,2,1,56,0.8,123,6,10,1110,864,3551,15,9,3,0,1,0,3
1997,0,1.8,1,12,1,32,0.7,136,2,14,30,1107,810,13,17,15,0,1,1,1
616,0,2.9,0,9,0,7,0.8,175,2,19,1144,908,2690,15,11,8,1,0,0,1
1290,0,2.4,0,10,1,11,0.5,95,6,17,68,1789,936,12,6,10,0,0,1,1
1650,1,0.9,1,17,0,17,0.7,175,2,17,1669,1814,3079,13,10,9,1,1,0,3
1916,0,1.7,1,1,1,5,0.4,188,1,11,882,1066,1753,17,9,10,0,0,0,2
1512,1,2.3,0,6,0,55,0.3,180,7,10,960,1676,1887,18,2,8,0,0,1,2
1581,0,1.1,0,8,0,23,0.7,199,3,12,826,718,458,17,6,20,1,0,1,1
1133,1,2.1,0,9,1,14,1.0,179,6,5,1519,672,3313,13,3,18,1,0,1,2
1012,0,2.2,0,17,0,17,0.4,100,4,11,923,1107,702,15,7,14,1,1,1,0
1301,1,0.9,1,6,1,53,0.5,190,6,4,1169,1535,3203,16,7,12,1,0,0,2
1619,0,1.9,1,6,0,63,0.7,155,5,7,983,1885,3395,10,5,19,0,1,1,3
1641,0,2.4,0,2,0,30,0.6,130,4,4,1356,1357,1371,7,12,18,0,0,1,1
1059,0,1.7,0,11,1,7,0.9,100,5,10,480,1156,1033,5,11,17,1,1,0,1
987,1,0.5,0,6,0,27,0.8,139,8,4,1929,1468,2481,15,2,11,0,1,0,2
1760,0,0.5,0,16,1,12,0.2,130,8,19,1286,2000,1942,12,5,5,0,1,0,2
1396,1,1.4,0,0,1,25,1.0,100,6,9,292,1605,1084,14,18,5,0,0,0,1
1795,1,2.8,0,4,1,30,0.8,186,5,9,1452,1863,814,7,10,12,1,0,1,1
1712,0,1.1,1,15,0,4,0.9,196,4,16,85,940,3330,17,3,9,1,0,1,3
1203,0,2.1,1,14,0,53,0.7,85,1,14,1039,1116,2278,11,14,10,1,1,0,2
1970,0,1.1,1,1,0,11,0.9,152,6,8,727,725,358,17,1,17,0,0,1,1
1080,1,1.3,0,8,1,62,0.2,144,6,20,627,870,1552,14,14,11,1,0,1,1
1289,0,2.6,0,6,1,61,0.4,155,2,9,117,527,1813,10,16,10,1,1,0,1
1360,1,2.3,0,3,0,63,0.9,137,6,11,269,1507,371,7,1,4,0,0,1,0
746,1,0.7,1,19,0,64,0.3,157,7,18,1418,1494,1114,10,6,3,1,1,1,0
1599,0,1.6,0,17,1,2,0.2,85,8,2,978,515,2767,16,15,10,1,0,0,2
653,0,0.6,0,20,0,53,0.8,144,7,14,854,1800,359,7,4,14,1,1,1,0
1958,0,1.7,1,3,1,44,0.9,165,6,14,161,832,2562,17,15,7,0,1,1,2
1496,0,2.2,0,12,0,27,0.2,113,8,17,699,982,1587,19,18,5,1,1,0,1
1609,0,0.8,1,0,1,59,0.9,135,8,10,1127,1065,3694,17,1,15,0,1,1,3
1196,0,1.2,1,2,0,13,0.7,154,1,11,1676,1811,1184,18,14,12,0,1,0,1
1808,1,1.5,0,15,0,15,0.6,82,2,7,166,613,3113,13,3,3,0,1,0,3
1743,1,2.8,1,3,1,26,0.8,121,3,6,299,537,2945,17,1,4,0,1,0,3
1592,1,3.0,0,15,1,9,0.5,141,5,3,27,953,1062,5,9,6,0,0,0,1
1570,0,0.6,1,18,1,44,0.3,85,4,12,1447,1241,3326,17,4,8,0,1,0,3
1508,1,2.4,0,0,0,5,0.4,85,3,10,1807,665,3629,12,17,12,1,0,0,3
593,1,1.4,1,4,1,29,0.6,142,2,7,561,1193,815,9,3,13,1,0,1,0
1457,1,1.5,0,18,1,8,0.6,99,7,9,882,704,2330,19,0,12,0,0,0,2
1511,1,2.4,1,10,0,11,0.8,100,7,10,155,1377,2811,8,17,20,0,1,1,2
952,1,2.8,1,12,1,52,0.8,81,7,10,1347,744,782,5,5,14,1,0,0,0
1727,0,2.9,1,19,1,58,0.6,169,1,9,1371,1856,3078,13,13,5,1,1,0,3
1411,0,1.9,0,4,1,59,0.8,174,8,13,1144,1442,3692,17,9,15,1,0,0,3
717,1,1.4,0,20,0,37,0.3,169,7,9,651,1919,1208,13,17,13,0,1,1,0
973,1,2.5,1,3,0,3,0.1,135,4,4,1551,1320,553,17,8,3,0,1,1,0
931,1,1.1,0,3,0,27,0.9,175,5,14,820,1006,1032,9,11,9,1,0,0,0
840,0,1.9,1,3,1,54,0.2,89,6,20,560,1423,616,18,9,20,0,1,1,0
1050,0,1.4,0,3,0,51,0.3,166,6,3,1187,1644,3973,15,18,14,0,0,0,3
1812,1,2.1,1,19,1,15,0.7,149,3,18,1085,1782,759,13,5,2,0,1,0,1
1777,0,1.1,0,20,1,59,0.5,102,5,17,1363,909,2232,19,13,6,0,1,1,2
856,0,1.0,1,17,1,17,0.9,171,2,5,1689,809,2891,14,7,12,1,0,0,2
522,1,2.8,1,17,0,55,0.4,192,5,19,311,567,2333,18,13,12,0,1,0,1
1021,0,0.8,1,15,0,44,0.1,109,1,15,375,613,1718,13,10,14,0,0,1,1
1623,0,1.8,1,8,1,43,0.4,157,3,3,1369,719,3667,11,15,3,0,0,0,3
1301,1,1.1,0,17,1,18,0.6,116,3,14,149,719,2429,12,5,20,0,0,0,2
1703,0,0.6,1,1,0,47,0.4,134,1,18,1911,1996,851,5,14,17,1,1,1,1
1746,0,0.6,0,20,0,23,0.6,175,5,16,584,1229,1845,8,14,6,0,0,1,2
1261,1,0.9,0,3,0,5,0.9,128,7,6,580,1248,1645,14,13,15,0,0,0,1
941,0,2.7,1,11,1,20,0.9,113,1,8,976,1442,2131,14,11,20,1,0,0,1
1268,0,1.2,0,6,0,3,0.3,184,7,19,176,885,3770,19,1,6,0,0,1,3
1515,1,2.9,0,14,0,40,0.5,123,4,12,353,1821,518,8,7,10,0,1,1,1
1848,1,2.0,0,6,0,10,0.6,194,1,19,513,1429,3239,16,18,13,0,1,0,3
1015,1,1.6,1,20,1,61,1.0,101,7,6,308,1776,3175,13,13,17,0,0,1,2
1539,0,2.0,0,16,0,20,1.0,110,5,14,118,904,3549,7,4,20,1,0,1,3
1291,1,1.8,0,15,1,17,0.3,86,7,19,1542,991,2119,19,8,16,1,0,1,2
835,0,2.4,1,18,1,55,0.8,184,1,3,766,856,257,16,12,18,1,0,0,0
757,1,1.2,1,8,1,26,0.4,100,2,5,995,1951,2189,14,8,16,0,0,0,1
996,0,1.4,0,13,0,49,0.1,95,6,14,972,714,649,19,13,4,0,0,0,0
1395,1,2.7,1,16,0,19,0.1,99,1,17,915,1903,561,14,4,18,1,1,0,0
659,1,2.9,0,4,0,24,0.5,122,6,7,477,1251,1425,5,1,14,1,0,0,1
1998,1,2.7,0,1,1,54,0.5,123,1,9,1437,1326,785,19,6,10,0,0,1,1
1351,1,1.5,0,19,0,22,0.1,126,5,17,586,1737,783,15,15,14,0,0,1,1
1189,0,2.5,1,15,1,12,0.7,193,4,14,350,1621,3635,9,10,17,0,0,1,3
879,1,1.7,0,13,0,40,0.4,98,4,5,1529,1027,1220,11,10,20,0,0,0,1
1456,1,1.7,1,13,0,42,0.6,127,6,3,194,1415,926,16,11,15,0,0,0,1
1190,0,1.0,1,0,0,5,0.4,175,8,10,1210,1165,3667,8,12,9,0,1,1,3
1950,1,2.0,0,2,0,26,0.3,158,8,19,1473,1209,2655,13,7,20,0,1,1,2
1791,0,1.0,1,6,1,64,0.5,148,5,18,495,1034,3113,10,15,4,0,0,1,3
1940,1,1.3,1,14,1,33,0.3,90,7,9,514,1053,2512,10,0,19,0,1,1,2
1691,1,2.6,1,18,1,31,0.6,158,5,16,695,827,1213,7,12,17,0,0,0,1
1566,1,1.0,1,19,1,46,0.3,108,8,10,1870,1401,2508,14,10,15,1,1,0,2
784,0,0.7,1,1,0,60,0.6,193,5,18,272,1688,2928,14,3,17,0,0,1,2
896,1,0.7,0,18,1,27,0.2,124,2,3,879,1639,1969,9,3,18,0,0,0,1
511,1,2.9,1,8,1,58,0.7,147,3,7,51,649,976,14,14,12,0,0,0,0
1825,1,1.8,0,18,1,62,0.8,192,8,6,262,1555,891,10,2,14,1,1,0,1
1776,0,1.5,0,4,0,37,0.2,115,8,18,1391,1156,1294,18,18,12,0,1,0,1
998,0,2.5,0,17,1,52,0.5,127,1,3,132,1305,3161,8,1,5,1,0,1,2
1253,1,2.6,0,15,1,35,0.2,166,5,19,993,792,3755,17,5,15,0,0,1,3
534,0,1.3,0,3,0,10,0.6,94,5,11,1248,1418,2779,7,7,6,1,1,0,1
1226,1,2.2,0,11,0,13,0.3,189,5,11,309,1188,2601,9,16,5,1,0,1,2
1348,1,2.4,1,6,1,3,0.6,123,4,7,1596,1456,812,11,4,2,0,0,0,1
589,1,2.1,1,13,1,39,0.6,146,5,13,1900,1700,1373,15,1,15,1,0,1,0
1275,1,0.9,1,11,0,6,0.9,175,8,18,15,1584,2410,10,11,8,1,1,1,2
1104,1,2.7,0,2,1,63,0.6,153,1,14,1764,915,3746,6,4,11,0,1,1,3
1469,1,1.8,1,4,0,6,0.6,119,7,17,194,1906,3605,5,9,3,0,0,1,3
1521,1,1.2,1,16,1,53,0.5,181,7,11,1786,1097,383,9,8,11,0,0,1,0
917,0,1.6,1,9,1,23,1.0,165,5,3,1466,506,2249,9,7,4,0,1,1,1
614,0,0.6,0,9,1,6,0.8,93,1,3,302,1417,2762,16,0,9,0,0,1,1
1116,0,0.8,1,10,1,60,0.4,142,2,8,1071,584,293,16,5,11,0,0,0,0
1719,0,2.4,0,16,1,5,0.9,160,7,7,1770,1273,1888,10,10,9,1,0,1,2
1325,0,0.5,1,4,0,62,0.5,164,8,2,1144,1456,453,7,2,15,1,0,0,0
1598,0,1.5,0,12,0,10,0.8,130,3,13,1522,1921,2660,5,14,19,0,1,1,2
912,0,1.8,0,9,1,30,0.8,191,4,14,831,1916,2310,19,10,10,0,0,1,1
1899,1,0.6,0,8,1,23,0.3,158,1,13,561,1570,3883,8,4,10,0,0,1,3
1943,1,2.9,1,16,1,28,0.7,137,7,20,1492,1864,3659,8,15,5,0,0,0,3
1228,1,1.1,1,0,0,11,0.4,94,7,10,40,1105,774,14,6,4,1,1,0,0
1800,1,1.3,0,3,0,17,0.4,144,6,11,1479,925,2497,6,5,15,1,1,0,2
1520,0,1.3,1,3,0,43,0.4,167,2,18,533,925,2619,18,8,15,0,1,0,2
1260,0,1.1,0,17,0,62,0.8,134,3,19,370,1235,1280,12,6,17,1,0,0,1
1175,1,0.5,0,8,0,43,0.3,198,3,9,1205,1290,1341,10,2,6,1,0,1,1
1917,1,2.3,1,17,0,62,0.1,155,3,8,516,1014,2646,16,10,16,0,0,0,2
956,0,2.9,1,13,0,52,0.7,89,8,10,656,1652,2904,7,11,10,0,1,0,2
1419,1,1.1,1,14,0,11,0.3,189,1,11,1892,1772,1297,19,10,8,1,1,0,1
691,1,2.2,0,5,1,7,0.2,185,2,13,589,1240,875,5,1,14,0,0,1,0
1238,1,2.4,0,9,0,63,0.3,121,5,16,230,630,3974,16,0,9,0,0,1,3
